,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
2,(4.0180859004613016e-06,0.000457153633935377),(4.822155759902671e-06,0.0009200669180136174),(6.128430899698287e-06,0.0017428068348090164),(8.879079419421032e-06,0.003557501730392687),(1.3247760050580836e-05,0.006984690839890391),(2.238717419677414e-05,0.01425047685042955),(4.041386479511857e-05,0.027932619402417914),(8.400536519475281e-05,0.05650370679795742),(0.0001775694504904095,0.1218139614793472),(0.00034565399697748946,0.22942500200588256),(0.0008889574299100787,0.4645070030237548)
4,(7.499512480571866e-06,0.00046689022600185126),(1.1078258650377393e-05,0.0009506721440702677),(1.1737572101992554e-05,0.0017480316400178709),(1.6309996650670656e-05,0.003480533789843321),(2.5112284801434724e-05,0.007155337500153109),(4.450475058984011e-05,0.015453731597517617),(8.16169238067232e-05,0.028915133402915672),(0.0001665925715060439,0.05824573159916326),(0.0002937174459802918,0.11538724601268768),(0.0006283842941047624,0.2239561130409129),(0.0018764907549484633,0.4727772389887832)
8,(1.4041904447367415e-05,0.00046272879000753165),(1.7399942749761975e-05,0.0009260839939815923),(2.2232716000871734e-05,0.0018049598397919908),(3.2349014404462654e-05,0.003720038079773076),(4.997659620130435e-05,0.007276789840543643),(8.681811359710992e-05,0.01415807580051478),(0.00016699391001020558,0.031686547299614176),(0.00030158311600098385,0.057260499999392776),(0.000580172730027698,0.11575751251075417),(0.0013084852849715388,0.2542059120023623),(0.003515461980132386,0.4832561549847014)
16,(2.8944065200630576e-05,0.0004883535880362615),(3.724656780250371e-05,0.0009516493780538439),(4.446011420805007e-05,0.0017735014099162071),(6.994618920143693e-05,0.0036841469805222004),(0.00010365271820919588,0.007080193759175017),(0.00017710333099239505,0.014737851699464954),(0.0003243056240025908,0.031390285899396984),(0.0006712451579514891,0.05603755239862949),(0.0011841659800847992,0.12216960598016158),(0.0028077939501963555,0.2618252119864337),(0.0076404935400933025,0.5045412160106935)
32,(5.852050479734316e-05,0.0005523504400625825),(8.22762495954521e-05,0.0010108900100458413),(9.07615337986499e-05,0.0017888680749456399),(0.0001288613284996245,0.004042436000308953),(0.00021602299500955268,0.007255828399211168),(0.00034449483099160716,0.014944489649496972),(0.000633654867997393,0.028295212797820567),(0.0012225881102494896,0.05862027260009199),(0.003028131579631008,0.15592782251769677),(0.005752268279902637,0.2597379540093243),(0.014969015549286268,0.4658541340031661)
64,(0.0001126760425104294,0.0004976243058918044),(0.00013261613150825725,0.0009417498239781707),(0.00017174364498350768,0.0021080584998708217),(0.00032867218100000173,0.00420025267987512),(0.0004274832980008796,0.007348279940197244),(0.0006935614760732278,0.014386677500442601),(0.0012692486747982912,0.029570310597773642),(0.0024106680502882227,0.06039334479719401),(0.0046332017797976735,0.12083564748172648),(0.010186001300462521,0.236235971970018),(0.0282238959975075,0.49057711800560355)
128,(0.00022306844900595024,0.00048546115402132273),(0.00029982135602040215,0.0014453607951872983),(0.0005294510580133646,0.002554629539954476),(0.0005520118640270084,0.003732733660144731),(0.0007858262880472466,0.0074106729601044205),(0.001382243584957905,0.015794998250203206),(0.002665129220113158,0.03273435520241037),(0.004842304280027747,0.06041521599981934),(0.010199836851097644,0.11993988949689083),(0.021130971796810626,0.25223936297697946),(0.05655993239488453,0.47674373601330444)
256,(0.00042472196789458395,0.00047667304996866733),(0.0006711318760644644,0.0011277738399803638),(0.0007471951320767403,0.0017720802000258118),(0.000982552908011712,0.0038271630299277605),(0.002088025654957164,0.008313047260744498),(0.0028267745103221385,0.015376546198967844),(0.005041700099827722,0.030414920399198308),(0.010938489050022326,0.07844813839765266),(0.021750049298861995,0.12804564950056374),(0.04380966819589958,0.2416866619605571),(0.11303691350622103,0.48747469700174406)
512,(0.0008629472099710256,0.0005971395859960466),(0.0014094193949131294,0.0010532475300715305),(0.0014731489299447276,0.001952550150163006),(0.0019787945650750773,0.004324178399983793),(0.004204258240060881,0.008342706760158762),(0.005813567419536412,0.015564777099643833),(0.010157985700061545,0.033215438399929555),(0.02432196754962206,0.0765187721932307),(0.0417951421928592,0.14631494047353044),(0.08249845219543203,0.2501070959842764),(0.2248082549776882,0.4982430879608728)
1024,(0.0021207991748815403,0.0006427894660737365),(0.0023353009298443792,0.0010651131501072087),(0.002706055659800768,0.00213478532503359),(0.00412801734986715,0.00501020526047796),(0.007935507880756632,0.008608017599908636),(0.011087482201401145,0.016348329349420966),(0.020366063102846964,0.03353259550058283),(0.05151926539838314,0.0809681001934223),(0.08195976800052449,0.12835801299661398),(0.17149931599851698,0.2532184029696509),(0.5139413659926504,0.5248828629846685)
